id,user_id,service_id,order_timestamp
163548290,9836,XMD8nVShpINn,2021-06-22Z18:32:59
163548291,9836,PXAQ9MiP7BvW,2021-06-22Z18:32:59
163548292,8725,ikNjwXadFlDy,2021-06-22Z18:33:19
163548293,9840,9KyrlovWf2nH,2021-06-22Z18:34:00
163548294,9121,WXoCdFvGgXmb,2021-06-22Z18:35:16
163548295,9121,idVIMieuoAMU,2021-06-22Z18:35:16
163548296,9121,CC4F1NgnYGs3,2021-06-22Z18:35:16
163548297,9839,NvwWjzW7FydE,2021-06-22Z18:36:21
163548298,9841,fCobsButtJD7,2021-06-22Z18:36:55
163548299,9837,R2GA1xIVXK1o,2021-06-22Z18:39:12
163548300,6674,aVFRDibsnP6H,2021-06-22Z18:42:36
163548301,6674,Yr52FZCJxmxk,2021-06-22Z18:42:36